seed,family,label,temperature,J,Gamma,mse,mae,psnr_db
7,local_only,"local_only: J=0, Gamma=0.35",1.5,0.0,0.35,0.07857705047940917,0.24487541741587457,11.047042771856795
7,local_only,"local_only: J=0, Gamma=0.35",2.0,0.0,0.35,0.07857705047940917,0.2448754174158746,11.047042771856795
11,baseline,mean_fill,,,,0.03338417107903298,0.1565513211712004,14.76459402724528
11,baseline,nearest,,,,0.008539260328236861,0.06153703187436112,20.685797463224084
11,baseline,gaussian,,,,0.004615497276714499,0.04973665094364349,23.357815009439005
11,classical_ising,"classical_ising: J=0.25, Gamma=0",0.25,0.25,0.0,0.08123757247190344,0.24075394581383308,10.902430625913137
11,classical_ising,"classical_ising: J=0.25, Gamma=0",0.5,0.25,0.0,0.03298561329048756,0.14342313345657628,14.816754368162563
11,classical_ising,"classical_ising: J=0.25, Gamma=0",0.75,0.25,0.0,0.025532528306120933,0.1317792563004612,15.929061779481962
11,classical_ising,"classical_ising: J=0.25, Gamma=0",1.0,0.25,0.0,0.03238171946088313,0.14795255461178147,14.897000940462998
11,classical_ising,"classical_ising: J=0.25, Gamma=0",1.5,0.25,0.0,0.04862106133947668,0.1852976372551699,13.131755652613524
11,classical_ising,"classical_ising: J=0.25, Gamma=0",2.0,0.25,0.0,0.059427217570325166,0.20741826051010198,12.260146032794417
11,quantum,"quantum: J=0.25, Gamma=0.2",0.25,0.25,0.2,0.06621171593091664,0.20807843890711517,11.79065156875187
11,quantum,"quantum: J=0.25, Gamma=0.2",0.5,0.25,0.2,0.03045449704295822,0.13869345165408312,15.163485684912931
11,quantum,"quantum: J=0.25, Gamma=0.2",0.75,0.25,0.2,0.02584872708704579,0.13256290222737904,15.875608387473479
11,quantum,"quantum: J=0.25, Gamma=0.2",1.0,0.25,0.2,0.032895777580006814,0.14916420183128226,14.828598434295879
11,quantum,"quantum: J=0.25, Gamma=0.2",1.5,0.25,0.2,0.04887910489330683,0.18585164609341154,13.108767557822159
11,quantum,"quantum: J=0.25, Gamma=0.2",2.0,0.25,0.2,0.059542812583122044,0.2076427665864028,12.251706547332976
11,quantum,"quantum: J=0.25, Gamma=0.35",0.25,0.25,0.35,0.04482232572721978,0.16373726053564477,13.485056126761714
11,quantum,"quantum: J=0.25, Gamma=0.35",0.5,0.25,0.35,0.027150876440758767,0.13347720635131846,15.662161466555508
11,quantum,"quantum: J=0.25, Gamma=0.35",0.75,0.25,0.35,0.026672987243638268,0.13479318573404384,15.739283427361666
11,quantum,"quantum: J=0.25, Gamma=0.35",1.0,0.25,0.35,0.03395143538461381,0.15156542284438937,14.691418600745102
11,quantum,"quantum: J=0.25, Gamma=0.35",1.5,0.25,0.35,0.04940163810797236,0.1869657288875411,13.062586500751785
11,quantum,"quantum: J=0.25, Gamma=0.35",2.0,0.25,0.35,0.05977805661471212,0.20810282483280187,12.23458207985695
11,classical_ising,"classical_ising: J=0.45, Gamma=0",0.25,0.45,0.0,0.09773760006859307,0.2698228728672104,10.099383292096613
11,classical_ising,"classical_ising: J=0.45, Gamma=0",0.5,0.45,0.0,0.0696681417784929,0.22007217052966666,11.569657730180234
11,classical_ising,"classical_ising: J=0.45, Gamma=0",0.75,0.45,0.0,0.03614982700495058,0.147348232744247,14.418937766813489
11,classical_ising,"classical_ising: J=0.45, Gamma=0",1.0,0.45,0.0,0.023216987360836144,0.12145326228938695,16.341941350474215
11,classical_ising,"classical_ising: J=0.45, Gamma=0",1.5,0.45,0.0,0.029779356342149597,0.14129353635049233,15.260846934231186
11,classical_ising,"classical_ising: J=0.45, Gamma=0",2.0,0.45,0.0,0.043424240864406646,0.1744522438015346,13.622677650807711
11,quantum,"quantum: J=0.45, Gamma=0.2",0.25,0.45,0.2,0.0922827716650645,0.2595995507259433,10.348793701461059
11,quantum,"quantum: J=0.45, Gamma=0.2",0.5,0.45,0.2,0.06505389688946837,0.20964512754543632,11.867266830085859
11,quantum,"quantum: J=0.45, Gamma=0.2",0.75,0.45,0.2,0.03448577718086798,0.14415188856650368,14.623599821860127
11,quantum,"quantum: J=0.45, Gamma=0.2",1.0,0.45,0.2,0.023014307325799725,0.12113131726839979,16.380020917719595
11,quantum,"quantum: J=0.45, Gamma=0.2",1.5,0.45,0.2,0.030040184600293136,0.14196380104455372,15.222974028715196
11,quantum,"quantum: J=0.45, Gamma=0.2",2.0,0.45,0.2,0.04359473220174147,0.1748504800481176,13.605659858216052
11,quantum,"quantum: J=0.45, Gamma=0.35",0.25,0.45,0.35,0.08104125884589142,0.2376063690947114,10.912938215276125
11,quantum,"quantum: J=0.45, Gamma=0.35",0.5,0.45,0.35,0.05647295845477845,0.18984791832616896,12.481594602367332
11,quantum,"quantum: J=0.45, Gamma=0.35",0.75,0.45,0.35,0.031528534919188396,0.1385862437132826,15.012962097562239
11,quantum,"quantum: J=0.45, Gamma=0.35",1.0,0.45,0.35,0.022721656703832496,0.12094249270618859,16.43560006099152
11,quantum,"quantum: J=0.45, Gamma=0.35",1.5,0.45,0.35,0.030578711445475706,0.14331514514388408,15.145808192477698
11,quantum,"quantum: J=0.45, Gamma=0.35",2.0,0.45,0.35,0.043943155855108454,0.17565946098370658,13.571087566726058
11,classical_ising,"classical_ising: J=0.7, Gamma=0",0.25,0.7,0.0,0.09959961908710387,0.27208850182507266,10.017423225068757
11,classical_ising,"classical_ising: J=0.7, Gamma=0",0.5,0.7,0.0,0.08706715001558422,0.2531986695230329,10.601456711458944
11,classical_ising,"classical_ising: J=0.7, Gamma=0",0.75,0.7,0.0,0.06340244706728257,0.20962894140291474,11.978939798578791
