seed,Gamma,temperature,mse,mae,psnr_db
41,0.0,1.0,0.01689992449036521,0.10055925989865455,17.721152358295797
41,0.0,1.25,0.010821814840410131,0.08464870132693154,19.656999010517534
41,0.0,1.5,0.011967700717502975,0.09145519367759096,19.219892799711054
41,0.0,1.75,0.01706520488133345,0.10716792329681472,17.67888493303981
41,0.1,1.0,0.016762883625608117,0.1000758754017361,17.756512700156154
41,0.1,1.25,0.010802955282000294,0.08466052371454284,19.664574216338238
41,0.1,1.5,0.01200187729848994,0.09157635732621983,19.207508175683508
41,0.1,1.75,0.017112623418452825,0.10730753607352844,17.666834066586993
41,0.2,1.0,0.01636293053250722,0.0986949893445967,17.86138913371222
41,0.2,1.25,0.010751598681388447,0.0847078483432053,19.6852695464286
41,0.2,1.5,0.012106051966384255,0.09195006017652745,19.169974661689245
41,0.2,1.75,0.017255142389851878,0.1077267448047638,17.630814525491505
41,0.35,1.0,0.015347731881990897,0.09534598758163247,18.13955796337739
41,0.35,1.25,0.010649374265894756,0.08485385266632339,19.72675909676201
41,0.35,1.5,0.012404706467326379,0.09296589339208848,19.064135079841684
41,0.35,1.75,0.01764893843291732,0.10889755596272942,17.53281411896059
